x,y,prediction,timestamp
11.393679,-12.51758,bag,03-09-2021 00:00:03.085497
10.602499,-12.16534,bag,03-09-2021 00:00:07.392757
2.1612592,-0.2416799,coat,03-09-2021 00:00:07.978729
9.252301,13.202354,trouser,03-09-2021 00:00:14.663417
-0.8357322,-2.6890097,shirt,03-09-2021 00:00:15.927015
21.320467,3.1503863,ankle boot,03-09-2021 00:00:24.820288
20.689964,1.3978933,ankle boot,03-09-2021 00:00:35.073190
19.104715,11.597312,sneaker,03-09-2021 00:00:46.909299
13.488469,-9.872256,bag,03-09-2021 00:00:49.411825
15.174537,1.4540383,sandal,03-09-2021 00:00:55.443867
20.137129,-1.0281091,ankle boot,03-09-2021 00:00:58.400483
15.565646,-9.902564,bag,03-09-2021 00:00:59.054088
20.300627,0.7828069,ankle boot,03-09-2021 00:01:02.193202
19.828453,12.442788,sneaker,03-09-2021 00:01:26.491464
18.11709,12.022504,sneaker,03-09-2021 00:01:33.856639
14.626051,-9.315414,bag,03-09-2021 00:01:50.692008
20.821165,1.3682426,ankle boot,03-09-2021 00:02:00.956672
14.530325,-8.944324,bag,03-09-2021 00:02:06.320302
-1.7797723,11.669533,dress,03-09-2021 00:02:16.389103
7.67404,-5.021647,pullover,03-09-2021 00:02:16.591248
7.7147055,-5.5316386,pullover,03-09-2021 00:02:25.021663
15.273617,1.8801938,sandal,03-09-2021 00:02:26.126438
0.993925,6.6014466,t-shirt,03-09-2021 00:02:56.905166
2.9261234,-0.6388486,coat,03-09-2021 00:03:08.245279
13.330699,-11.695846,bag,03-09-2021 00:03:31.392716
8.454515,-6.878791,pullover,03-09-2021 00:03:33.674556
12.771456,-11.559856,bag,03-09-2021 00:03:51.182433
20.6955,-0.4974344,ankle boot,03-09-2021 00:03:56.563119
8.527027,14.287683,trouser,03-09-2021 00:04:04.991648
0.016658537,12.19435,dress,03-09-2021 00:04:07.631538
2.5760868,-1.2499468,coat,03-09-2021 00:04:45.755929
18.091002,12.146836,sneaker,03-09-2021 00:05:00.092683
19.246435,11.301054,sandal,03-09-2021 00:05:06.347537
2.3722172,2.9122925,shirt,03-09-2021 00:05:17.683403
19.818136,-1.2163823,ankle boot,03-09-2021 00:05:19.427043
7.7930026,-6.932537,pullover,03-09-2021 00:05:55.092702
14.800846,0.66899306,sandal,03-09-2021 00:06:11.028023
21.300747,3.72077,ankle boot,03-09-2021 00:06:34.851567
19.757269,-0.92427385,ankle boot,03-09-2021 00:06:43.119309
2.9820862,4.7742066,shirt,03-09-2021 00:06:47.246523
0.40189993,12.662304,dress,03-09-2021 00:06:57.474662
0.368696,12.237407,dress,03-09-2021 00:07:14.578096
18.653986,12.107783,sneaker,03-09-2021 00:07:18.703019
2.8615885,-1.7667317,coat,03-09-2021 00:07:25.341121
7.698903,-6.832123,pullover,03-09-2021 00:07:25.762147
8.573624,-6.368011,pullover,03-09-2021 00:07:27.676970
21.755087,1.8720975,sandal,03-09-2021 00:07:28.867213
-0.8237827,-4.1373158,shirt,03-09-2021 00:07:33.703534
-1.3995081,-1.590628,shirt,03-09-2021 00:07:37.110732
18.252647,12.123239,sneaker,03-09-2021 00:07:59.072287
8.0583315,-7.0532722,pullover,03-09-2021 00:08:16.847425
8.493662,-6.755655,pullover,03-09-2021 00:08:21.583168
8.933494,13.403851,trouser,03-09-2021 00:08:25.186812
0.18842003,-3.5145764,shirt,03-09-2021 00:08:29.421622
-1.3174661,12.499276,dress,03-09-2021 00:08:34.325893
2.450984,-1.7804948,coat,03-09-2021 00:08:42.085804
11.5373955,-12.580007,bag,03-09-2021 00:08:47.540204
2.325684,4.6114297,shirt,03-09-2021 00:08:49.741074
7.400378,-4.873296,pullover,03-09-2021 00:09:08.603587
2.4568918,-2.2838664,coat,03-09-2021 00:09:11.049070
7.9603157,16.026926,trouser,03-09-2021 00:09:17.349175
20.419838,2.070795,ankle boot,03-09-2021 00:09:21.492836
2.9365425,-0.5669378,coat,03-09-2021 00:09:31.307644
-4.7772546,2.7820268,t-shirt,03-09-2021 00:10:21.566132
21.033064,2.2467015,ankle boot,03-09-2021 00:10:23.633904
13.841292,3.9710665,sandal,03-09-2021 00:10:24.383282
3.825841,-1.1715748,coat,03-09-2021 00:10:27.433089
21.223867,3.5763943,ankle boot,03-09-2021 00:10:33.362649
-6.1800036,0.8706334,t-shirt,03-09-2021 00:10:43.101877
5.831012,-4.594197,pullover,03-09-2021 00:10:57.083663
7.35443,-6.2980475,pullover,03-09-2021 00:11:04.164222
2.943092,4.835381,shirt,03-09-2021 00:11:07.863928
7.390076,-6.8777266,pullover,03-09-2021 00:11:15.916458
11.303695,-12.379584,bag,03-09-2021 00:11:20.337877
15.040624,-10.189169,bag,03-09-2021 00:11:22.752975
2.0441718,-0.71231,coat,03-09-2021 00:11:26.270527
17.5751,10.932459,sneaker,03-09-2021 00:11:28.536595
19.990969,11.803365,sneaker,03-09-2021 00:11:38.271179
18.860388,12.318981,sneaker,03-09-2021 00:11:41.503408
-0.85397875,13.577737,dress,03-09-2021 00:11:58.598356
-1.0219784,13.061516,dress,03-09-2021 00:12:00.072741
13.69519,4.1595755,sandal,03-09-2021 00:12:08.470883
16.701006,11.483216,sneaker,03-09-2021 00:12:11.266023
6.7107215,-4.441528,pullover,03-09-2021 00:12:12.217705
16.887138,11.490713,sandal,03-09-2021 00:12:12.562339
15.691155,11.13476,sneaker,03-09-2021 00:12:17.327094
14.265202,3.0188081,sandal,03-09-2021 00:12:40.639360
8.354222,-5.7317576,pullover,03-09-2021 00:12:48.785996
8.881873,-5.500343,bag,03-09-2021 00:12:51.539549
21.757734,0.658767,ankle boot,03-09-2021 00:13:09.049263
18.44206,11.807173,sneaker,03-09-2021 00:13:09.056603
-0.84048,-3.2086532,shirt,03-09-2021 00:13:09.822290
0.048259184,13.161466,dress,03-09-2021 00:13:20.683357
-4.703698,2.9629126,t-shirt,03-09-2021 00:13:22.392273
18.072687,11.877546,sneaker,03-09-2021 00:13:31.938078
15.269727,-9.487239,bag,03-09-2021 00:13:36.494917
19.480957,12.144441,sneaker,03-09-2021 00:13:40.581306
16.002821,11.819656,sneaker,03-09-2021 00:13:48.009178
20.500668,-0.552121,ankle boot,03-09-2021 00:13:55.462046
0.21979,13.18648,dress,03-09-2021 00:13:56.451709
5.513222,1.7625484,t-shirt,03-09-2021 00:14:00.083764
-5.11153,0.879467,t-shirt,03-09-2021 00:14:12.191940
17.93679,12.306177,sneaker,03-09-2021 00:14:18.082369
15.089247,1.7906692,sandal,03-09-2021 00:14:19.568843
-6.0368776,1.7775003,t-shirt,03-09-2021 00:14:36.121197
-1.6117272,-1.8742442,shirt,03-09-2021 00:14:37.056288
-0.91234964,-4.485256,shirt,03-09-2021 00:14:51.668931
15.133968,-0.61341023,sandal,03-09-2021 00:14:58.216742
-1.4458507,13.398865,dress,03-09-2021 00:15:11.327569
2.4855492,0.30644295,coat,03-09-2021 00:15:16.405541
-1.1693429,-0.87638396,sandal,03-09-2021 00:15:27.708024
11.621682,-12.396635,bag,03-09-2021 00:15:38.958590
20.908834,2.2813559,ankle boot,03-09-2021 00:15:41.848501
14.217083,5.122795,sandal,03-09-2021 00:15:52.097241
15.110316,1.2152451,sandal,03-09-2021 00:16:16.083953
15.649115,-9.679639,bag,03-09-2021 00:16:27.930515
15.484732,-0.087529935,sandal,03-09-2021 00:16:28.047434
7.5896306,-7.107601,pullover,03-09-2021 00:16:31.960296
-1.6509397,-2.0691812,shirt,03-09-2021 00:17:01.246152
14.568598,2.085157,sandal,03-09-2021 00:17:03.923646
-1.1955944,11.206002,dress,03-09-2021 00:17:04.966664
14.383681,3.9183319,sandal,03-09-2021 00:17:13.078162
20.47021,0.70222473,ankle boot,03-09-2021 00:17:13.465912
8.653794,14.957779,trouser,03-09-2021 00:17:45.950278
7.4105673,-7.094261,pullover,03-09-2021 00:17:53.346465
8.901026,13.3779335,trouser,03-09-2021 00:18:20.289130
13.337116,-11.893394,bag,03-09-2021 00:18:28.881122
13.188654,-11.746923,bag,03-09-2021 00:18:34.358156
-0.21831174,13.650324,dress,03-09-2021 00:18:40.196535
15.355869,-9.693475,bag,03-09-2021 00:18:54.268429
1.3226647,0.4625903,coat,03-09-2021 00:19:26.132507
15.381386,-9.411776,bag,03-09-2021 00:19:31.675047
15.341372,-8.845436,bag,03-09-2021 00:19:40.360805
18.261337,11.524728,sneaker,03-09-2021 00:19:46.556489
0.48341715,6.1333976,t-shirt,03-09-2021 00:19:58.879317
9.711779,14.31521,trouser,03-09-2021 00:20:02.571801
-0.833744,-4.270912,shirt,03-09-2021 00:20:08.244521
-5.1599107,0.73043454,t-shirt,03-09-2021 00:20:16.263058
2.3508873,-1.6186761,coat,03-09-2021 00:20:22.418931
14.517949,3.1195765,sandal,03-09-2021 00:20:27.140069
4.4374514,1.5695044,shirt,03-09-2021 00:20:41.655946
0.8200635,6.5437217,t-shirt,03-09-2021 00:21:23.932273
15.268374,-9.444752,bag,03-09-2021 00:21:27.235584
18.69844,12.319039,sneaker,03-09-2021 00:21:37.232103
18.680403,12.711964,sneaker,03-09-2021 00:21:51.846938
14.400484,1.5204293,sandal,03-09-2021 00:21:58.180391
19.257349,11.380041,sneaker,03-09-2021 00:22:04.832218
14.98651,-8.711604,bag,03-09-2021 00:22:21.797607
2.5329657,2.9535048,shirt,03-09-2021 00:22:27.183329
21.772232,1.61115,ankle boot,03-09-2021 00:22:30.460190
-0.7414955,13.062729,dress,03-09-2021 00:22:31.796806
-0.20563704,-4.103184,shirt,03-09-2021 00:22:37.153866
-0.58935213,10.907472,dress,03-09-2021 00:22:51.566836
-1.2562966,-2.4754543,shirt,03-09-2021 00:22:52.485299
15.866531,0.39795926,sandal,03-09-2021 00:23:18.925618
8.122661,15.549487,trouser,03-09-2021 00:23:23.328768
11.025914,-12.004326,bag,03-09-2021 00:23:40.014431
12.904712,-11.998356,bag,03-09-2021 00:23:56.858275
20.79674,0.84387183,ankle boot,03-09-2021 00:24:01.964313
-4.73158,2.2283494,t-shirt,03-09-2021 00:24:19.379661
16.71495,11.456395,sneaker,03-09-2021 00:24:41.120433
1.0257022,6.281335,t-shirt,03-09-2021 00:24:42.161898
8.73579,-6.766974,pullover,03-09-2021 00:26:00.913429
14.6685,2.4036324,sandal,03-09-2021 00:26:06.483466
14.298988,3.8667095,sandal,03-09-2021 00:26:28.767485
8.687505,15.383539,trouser,03-09-2021 00:26:47.327031
9.041625,14.366498,trouser,03-09-2021 00:26:48.771079
-1.3791955,13.403987,dress,03-09-2021 00:26:49.657477
-0.923118,-4.498401,shirt,03-09-2021 00:26:57.395609
20.485611,1.2845086,ankle boot,03-09-2021 00:26:59.268761
19.739075,-0.5330795,ankle boot,03-09-2021 00:27:16.188553
18.480341,11.4847765,sneaker,03-09-2021 00:27:19.317618
21.473307,0.53946096,ankle boot,03-09-2021 00:27:28.367188
21.471289,2.8867161,ankle boot,03-09-2021 00:27:54.716001
8.427334,14.764314,trouser,03-09-2021 00:27:55.762322
-0.75287974,-0.7782665,shirt,03-09-2021 00:28:02.790542
1.7953466,-0.86459243,coat,03-09-2021 00:28:23.115953
-4.790187,2.6290157,t-shirt,03-09-2021 00:28:25.688627
2.576815,5.2522345,shirt,03-09-2021 00:28:26.087962
0.3223748,12.150677,dress,03-09-2021 00:28:29.136259
4.31688,-1.932674,coat,03-09-2021 00:28:31.677064
-0.29237667,-3.203549,shirt,03-09-2021 00:28:33.772824
18.999245,12.050796,sneaker,03-09-2021 00:28:40.115268
17.07785,11.888356,sneaker,03-09-2021 00:28:52.523688
2.934799,-0.56476134,coat,03-09-2021 00:29:08.121574
17.619513,10.898642,sneaker,03-09-2021 00:29:20.833496
0.04811029,12.876638,dress,03-09-2021 00:29:49.855098
0.71595085,2.0307834,coat,03-09-2021 00:29:50.836811
14.145356,-10.865952,bag,03-09-2021 00:29:57.718295
2.5441663,0.13758004,coat,03-09-2021 00:30:02.006700
12.883443,-12.062289,bag,03-09-2021 00:30:13.860904
20.842844,-0.5225723,ankle boot,03-09-2021 00:30:18.487057
2.450984,-1.7804948,coat,03-09-2021 00:30:20.811782
