x,y,label
20.91631,0.640727,ankle boot
-6.172271,1.1039964,t-shirt
-3.8540401,3.7517424,t-shirt
-0.7860591,12.171598,dress
0.95091265,6.5942125,t-shirt
8.111052,-6.5696907,pullover
18.372015,12.531217,sneaker
7.6998925,-7.056981,pullover
14.319821,4.9069166,sandal
13.877102,4.338929,sandal
-5.522243,1.9168066,t-shirt
19.78557,-1.4406215,ankle boot
14.557274,2.1506054,sandal
15.131128,1.2654275,sandal
19.481958,12.277313,sneaker
20.978016,1.8853339,ankle boot
8.1033945,12.882907,trouser
-5.540516,1.6335675,t-shirt
0.26761037,-3.2251568,shirt
1.7799605,1.8914189,coat
-1.6274463,12.314815,dress
7.821706,13.4182415,trouser
2.3103604,0.46802068,coat
14.577374,-10.073597,bag
2.3371758,-0.34063655,coat
-1.3015536,10.765544,dress
-4.884378,1.8000882,t-shirt
8.2241335,-7.28745,pullover
3.3924336,-0.7217523,coat
2.099609,-1.1460555,coat
15.249049,-0.8414643,sandal
-0.32969165,12.590419,dress
-0.26258448,-3.8578346,shirt
-1.6787279,-1.7443273,shirt
-4.2203236,3.6692967,t-shirt
11.436958,-11.9826765,bag
13.595651,4.4174356,sandal
8.356257,-5.33751,pullover
8.728174,15.29719,trouser
-0.84188414,-4.493477,shirt
-0.23599738,-4.0594454,shirt
16.941914,12.242394,sneaker
20.823793,2.4056177,ankle boot
14.790658,1.2043633,sandal
19.541603,-0.4885233,ankle boot
8.158492,-6.009915,pullover
18.253405,12.176571,sneaker
-1.8282253,11.305203,dress
-5.687958,1.8150474,t-shirt
-1.6281221,10.2321415,dress
-0.84995747,12.92869,dress
-1.1665301,12.847425,dress
18.084219,11.839844,sneaker
7.457492,-7.2600694,pullover
6.9423375,-4.0057974,pullover
3.5303907,3.4076588,shirt
2.6224113,4.0564184,shirt
10.673394,-12.384048,bag
-0.671365,13.695213,dress
0.65021664,13.40046,dress
13.641973,3.7166069,sandal
-5.456678,2.4717486,t-shirt
15.541785,1.1319256,sandal
15.287436,-0.91848093,sandal
1.0679798,6.223825,t-shirt
8.52173,-6.543917,pullover
-6.074631,1.5358167,t-shirt
0.95433754,6.1871047,t-shirt
2.921842,-1.7812636,coat
6.6784945,15.121068,trouser
-1.5816596,9.557273,dress
9.062092,13.637644,trouser
2.4496448,2.9820356,shirt
-1.0853381,13.553618,dress
8.890555,14.338078,trouser
0.748458,1.3016032,coat
0.9416706,2.192906,coat
4.013111,2.2638586,shirt
7.981073,15.034823,trouser
19.891874,0.69366723,ankle boot
8.043309,13.8407,trouser
-0.03154886,12.210626,dress
14.331315,4.320093,sandal
17.864311,11.634719,sneaker
20.72377,-0.5811388,ankle boot
18.050108,11.534697,sneaker
8.760791,13.362483,trouser
18.606043,12.53824,sneaker
19.644186,-0.91913277,ankle boot
21.203604,3.0000615,ankle boot
21.62804,1.5454705,ankle boot
-0.23722148,12.925435,dress
8.217675,-4.691499,pullover
20.919565,2.6401339,ankle boot
-1.5442443,11.257656,dress
-0.88497454,-3.1160874,shirt
1.5451874,2.2348013,coat
8.762115,15.931173,trouser
7.625252,12.807846,trouser
13.518517,-10.921096,bag
12.316115,-12.344783,bag
0.98261446,6.1211576,t-shirt
7.943704,16.141531,trouser
8.409967,16.230545,trouser
-0.94508237,-2.999061,shirt
15.460526,-9.532718,bag
7.8888054,13.854195,trouser
21.524576,2.5778644,ankle boot
17.710453,11.41805,sneaker
14.576556,-10.387888,bag
15.717571,-9.269189,bag
21.732084,2.9435513,ankle boot
-1.0329269,-3.834233,shirt
2.0942743,4.651035,shirt
-0.65570885,12.807633,dress
7.548134,14.744393,trouser
14.199696,4.6689644,sandal
1.9640256,-1.1897589,coat
-1.4716498,-2.3733625,shirt
18.382118,12.35576,sneaker
15.778311,0.74563116,sandal
14.879227,1.0604041,sandal
20.349796,0.7352697,ankle boot
7.869575,-4.9094553,pullover
8.318671,-6.7957106,pullover
7.726451,-5.6432676,pullover
18.09625,12.265781,sneaker
2.4165173,4.3259726,shirt
1.4925611,0.38176814,coat
7.6257434,14.227593,trouser
14.828546,-9.233257,bag
19.738268,12.531262,sneaker
18.334902,12.478539,sneaker
15.516681,1.4851977,sandal
3.9190009,-0.83086693,coat
7.3118095,-7.1468816,pullover
19.778316,-0.9589422,ankle boot
7.804938,14.777026,trouser
18.894197,12.90006,sneaker
3.4372914,-1.8780036,coat
-1.1598167,-3.3749654,shirt
21.057068,3.6500747,ankle boot
16.043297,11.499833,sneaker
8.365118,14.361361,trouser
15.202286,-10.12576,bag
19.490528,11.619274,sneaker
8.356143,14.84144,trouser
6.4746947,-5.8156824,pullover
14.81901,-9.0566025,bag
-5.067154,1.5029708,t-shirt
20.574564,-0.8290951,ankle boot
7.700613,13.263133,trouser
15.092492,-9.164958,bag
16.685766,12.145586,sneaker
-6.1212215,1.315844,t-shirt
15.599341,0.6121507,sandal
13.019349,-11.915958,bag
4.4186335,1.5900401,shirt
19.474915,12.263049,sneaker
